Source	Target	Weigth
Johan Alfred Mäkipää	Johan Nurminen	2
Johan Alfred Mäkipää	Kustaa Emil Aaltonen	2
Johan Alfred Mäkipää	Wilho Aaltonen	2
Johan Alfred Mäkipää	Kustaa Wilhelm Palmu	2
Johan Alfred Mäkipää	Juho Oskar Jokinen	2
Johan Alfred Mäkipää	Otto Sallinen	2
Johan Alfred Mäkipää	Johan Urho Rantala	2
Johan Alfred Mäkipää	Niklas Wirtasen	2
Johan Alfred Mäkipää	Matti Veijalainen	2
Johan Alfred Mäkipää	Jooseppi Rajala	2
Johan Alfred Mäkipää	Tuomas Piispa Ursin	2
Johan Alfred Mäkipää	Wäinö Sigfrid Forsströmin	2
Johan Alfred Mäkipää	Juho Anders Ahlgrenin	2
Johan Alfred Mäkipää	Kaarle Kustaa Grönbergin	2
Johan Alfred Mäkipää	Wäinö Heikki Hakkarainen	2
Johan Alfred Mäkipää	Kalle Kantola	2
Johan Alfred Mäkipää	Juho Myntti	2
Johan Alfred Mäkipää	Kaarlo Niininen	2
Johan Alfred Mäkipää	Karl Saaristo	2
Johan Alfred Mäkipää	Johan Kauppinen	2
Johan Alfred Mäkipää	Wilhelm Jaakkola	2
Johan Alfred Mäkipää	Juho Nestor Nurmi	2
Johan Alfred Mäkipää	Johan Arthur Taimi	2
Johan Alfred Mäkipää	Juho Taawi Tuoda	2
Johan Alfred Mäkipää	Richard Lindroosin	2
Johan Alfred Mäkipää	Kalle Jäntti	2
Johan Alfred Mäkipää	Juho Kustaa Rantanen	2
Emmi Kolehmainen	Tilda Örnberg	2
Emmi Kolehmainen	Miina Sillanpää	2
Emmi Kolehmainen	Ida Oksanen	2
Emmi Kolehmainen	Miina Lindberg	2
Emmi Kolehmainen	Ida Aalle	2
Emmi Kolehmainen	Hilma Lundman	2
Emmi Kolehmainen	Fanny Jokinen	2
Ida Kanth	Irene Johansson	2
Ida Kanth	Maria Söderlund	2
Ida Kanth	Katri Räisänen	2
Ida Kanth	Olga Ström	2
John Bojer	Yrjö Hirn	2
Esther Niska	Leo Funtekln	2
Esther Niska	Ossian FohströrrTin	2
Hilda Pynnönen	Ida Kosonen	2
Hilda Pynnönen	Hilma Nyström	2
Hilda Pynnönen	Hilja Liimatainen	2
Anders Johan Forsman	Johan Nurminen	2
Anders Johan Forsman	Johan Urho Rantala	2
Anders Johan Forsman	Henrik Filppulan	2
Anders Johan Forsman	Wäinö Sigfrid Forsströmin	2
Anders Johan Forsman	Juho Anders Ahlgrenin	2
Anders Johan Forsman	Jaakko Kallio	2
Anders Johan Forsman	Kalle Kantola	2
Anders Johan Forsman	Frans Johan Emil Leschin	2
Anders Johan Forsman	Arndt Auwisen	2
Anders Johan Forsman	Kaarlo Niininen	2
Anders Johan Forsman	Henrik Wiktor Merisaari	2
