Source	Target	Weigth
Matti Veijalainen	Wilhelm Jaakkola	11
Aune Krohn	Helmi Setälä	11
Santeri Ingman	Tekla Hultin	11
Edla Bnroos	Mandi Lampén	11
Matti Helenius	Mikael Johnsson	11
Lyydia Joki	Uno Akseli Tuomi	11
Gustaf Oskar Rantala	Johan Arthur Taimi	11
Gustaf Oskar Rantala	Kustaa Emil Aaltonen	11
Gustaf Oskar Rantala	Herman Asikainen	11
Gustaf Oskar Rantala	Kaarle Helin	11
Juho Nestor Nurmi	Tuomas Piispa Ursin	11
Juho Nestor Nurmi	Viktor Saarinen	11
Juho Nestor Nurmi	Kasper Renström	11
Juhani Aho	Yrjö Sirola	11
Henrik Filppula	Juho Nestor Nurmi	11
Henrik Filppula	Wilho Aaltonen	11
Henrik Filppula	Jaakko Kallio	11
Emil Perttilä	Seppälä Raittius	11
August Teräs	Tuomas Holma	11
Frans Oskar Nurmi	Wilho Aaltonen	11
Frans Oskar Nurmi	Wilhelm Jaakkola	11
A. Ojaperä	O. Merikanto	11
I. Laurila	Santeri Alkio	11
Karl Saaristo	Wäinö Heikki Hakkarainen	11
Hilda Käkikoski	Maria Laine	11
Hilda Käkikoski	Liina Ala-Kulju	11
A. Ensio	Hilma Räsänen	11
Isak Lehtinen	Matti Veijalainen	11
Isak Lehtinen	Tuomas Piispa Ursin	11
Isak Lehtinen	Viktor Saarinen	11
Isak Lehtinen	Johan Urho Rantala	11
Aleksi Käpy	Juho Lepistö	11
Matti Tarkkanen	Pekka Brofeldt	11
Matti Tarkkanen	Toivo Helo	11
Aatu Halme	Antti Räsänen	11
Kaarlo Harju	Kalle Laitinen	11
John Wiklén	Nurmio Kruunukylä	11
Juho Sundell	Mikko Kuisma	11
Alarik Emil Sikanen	Juho Kustaa Rantanen	11
Alarik Emil Sikanen	Emanuel Nurmi	11
Alarik Emil Sikanen	Juho Oskar Jokinen	11
Alarik Emil Sikanen	Viktor Saarinen	11
Alarik Emil Sikanen	Kaarlo Niininen	11
Alarik Emil Sikanen	Johan Urho Rantala	11
Alarik Emil Sikanen	Jooseppi Rajala	11
A. Grotenfelt	Santeri Alkio	11
Oskari Laine	Wilho Reima	11
Eliel Vartiainen	Wäinö Hämäläinen	11
Alfred Karinen	Antti Kaarne	11
Alise Sistonen	Anna Valjakka	11
Matti Autio	Yrjö Sirola	11
A Nordberg	Edvin Vikberg	11
A Nordberg	Saimi Huuskonen	11
Edvard Brändes	Valle Sorsakoski	11
Juho Oskar Jokinen	Tuomas Piispa Ursin	11
Juho Oskar Jokinen	Oskar Antikainen	11
Arno Fellman	Hilda Käkikoski	11
Mikko Uotinen	Roope Kojonen	11
ANJA TUULONEN	Ilmari Kianto	11
Juhani Sjöström	Wäinö Kataja	11
Aatto Sirenin	Otto Tiupan	11
