Source	tags	party	district
Fanny Jokinen	Työmies		
Hilda Pynnönen	Työmies		
Helmi Setälä	Helsingin Sanomat;Työmies		
Arthur Sundholmia	Uusi Suometar		
Kalle Tulla	Työmies		
Viktor Rydberg	Uusi Suometar		
T:rl Elmgren	Helsingin Sanomat		
Hilma Mantere	Työmies		
Ernst Borenius	Helsingin Sanomat		
Kaarle Halme	Uusi Suometar;Helsingin Sanomat;Työmies		
KUNO ALFTHAN	Helsingin Sanomat		
T:ri Hans	Helsingin Sanomat		
Emma Taltzman	Helsingin Sanomat		
Atte Franck	Helsingin Sanomat		
Alexis Gripen	Helsingin Sanomat		
Johan Emerik Söderholm	Uusi Suometar		
Anni Swan	Helsingin Sanomat		
Kalle Hämäläinen	Työmies	SDP	Oulun läänin eteläinen
Axel Cedercreutz	Helsingin Sanomat		
Ernst Hedman	Helsingin Sanomat		
Eero Alpi	Uusi Suometar;Helsingin Sanomat;Työmies		
Ingrid Holmberg	Uusi Suometar		
Aina Artukka	Helsingin Sanomat		
Wilho Lindroos	Työmies		
Petter Räisänen	Uusi Suometar		
Anton Edvard Lehtonen	Uusi Suometar		
Ida Aalto	Työmies		
Paul Kempe	Työmies		
Maria Rossi	Uusi Suometar		
Olli Salovaara	Työmies		
Kaarle Kustaa Grönbergin	Työmies		
Juho Myntti	Uusi Suometar;Työmies		
Fredrik Cygnaeus	Helsingin Sanomat		
Kaarlo Bergbom	Uusi Suometar		
Birger Hallman	Helsingin Sanomat		
Hilda Seppä	Helsingin Sanomat		
A. Apostoli	Helsingin Sanomat		
O. Talas	Uusi Suometar;Työmies		
Alma Jokinen	Työmies		
Kaarlo Terhi	Työmies		
August Oikarinen	Työmies		
Johan Alfred Mäkipää	Uusi Suometar;Työmies		
Elli Heinimaara	Työmies		
Alfred Backman	Helsingin Sanomat		
Teppo Raikas	Uusi Suometar		
Vilhelm Hackman	Helsingin Sanomat		
Leo Funtek	Helsingin Sanomat		
Väinö Toikka	Työmies		
Hilda Vanhala	Helsingin Sanomat		
Kalle Kantola	Uusi Suometar;Työmies		
Timo Korpimaa	Työmies		
Otto Kotilainen	Uusi Suometar;Työmies		
Matti Pieti	Helsingin Sanomat		
Wilho Laine	Työmies	SDP	Turun läänin pohjoinen
Maria Helena Sohlmanille	Työmies		
Heikki Ritavuori	Työmies		
Fanny Sofia	Uusi Suometar		
Pekka Leppänen	Helsingin Sanomat	Nuor.	Kuopion läänin itäinen
Esther Malmström	Uusi Suometar		
Juho Torppa	Uusi Suometar	Suom.	Vaasan läänin pohjoinen
Georg Schauman	Helsingin Sanomat		
Hilda Laine	Helsingin Sanomat		
Hilda Hänninen	Työmies		
Ida Oksanen	Työmies		
Yrjö Weil	Helsingin Sanomat;Työmies		
Axel Jflgerroos	Uusi Suometar		
Karl Gahnström	Helsingin Sanomat		
