Source	Target	Weigth
Isak Lehtinen	Kustaa Emil Aaltonen	3
Anna Parviainen	Mauri Hari	3
Arvid Grönberg	Eliel Mattila	3
Mandi Terho	Simo Kaario	3
Juho Torppa	Oskari Laine	3
Emanuel Nurmi	Kalle Kantola	3
Emanuel Nurmi	Otto Sallinen	3
Emanuel Nurmi	Juho Kustaa Rantanen	3
Emanuel Nurmi	Jaakko Kallio	3
Emanuel Nurmi	Isak Lehtinen	3
Emanuel Nurmi	Kaarle Helin	3
Emanuel Nurmi	Kaarlo Niininen	3
Emanuel Nurmi	Oskar Antikainen	3
Ilmari Krohn	Mikael Nyberg	3
